iter	Passed	Remaining
0	1	103
1	1	96
2	2	94
3	3	90
4	4	89
5	5	89
6	6	90
7	7	90
8	8	90
9	10	90
10	11	90
11	12	90
12	13	88
13	14	87
14	15	85
15	16	84
16	16	82
17	17	81
18	18	79
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	24	72
25	24	70
26	25	69
27	26	68
28	27	68
29	28	67
30	29	65
31	30	65
32	31	64
33	32	63
34	33	62
35	34	61
36	35	60
37	36	59
38	37	59
39	38	58
40	39	57
41	40	55
42	41	54
43	42	53
44	43	52
45	44	52
46	45	51
47	46	50
48	47	49
49	48	48
50	49	47
51	50	46
52	51	45
53	52	44
54	53	43
55	54	42
56	55	41
57	56	40
58	57	39
59	58	38
60	59	37
61	60	36
62	60	35
63	61	34
64	62	33
65	63	32
66	64	31
67	65	30
68	66	29
69	67	28
70	68	27
71	69	26
72	70	25
73	70	24
74	71	23
75	72	22
76	73	21
77	74	21
78	75	20
79	76	19
80	77	18
81	78	17
82	78	16
83	79	15
84	80	14
85	81	13
86	82	12
87	83	11
88	84	10
89	85	9
90	86	8
91	86	7
92	87	6
93	88	5
94	89	4
95	90	3
96	92	2
97	93	1
98	94	0
99	95	0
